lead_id,name,phone,email,city,country,type,notes
00e558ca-4771-4e81-a7fe-2320eb572313,Owner 2523,+91XXXXXXXXXX,,New York,IN,Seller,Generated
750e8eff-00b6-47ba-aed5-f130ca4f028a,Owner 5128,+91XXXXXXXXXX,,London,IN,Seller,Generated
34dd7870-6b70-4a52-b989-22d883e0567a,Owner 675,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
14f1ef39-9827-419b-96a5-5c0c534cc461,Owner 7670,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
352fcce2-f342-4723-b2ef-036bbdb8109c,Owner 1732,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
16dd1f4f-3c74-490c-8bf8-365fa1934b91,Owner 16,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
8a20951d-73a1-4d53-8569-f55508e271ea,Owner 6216,+91XXXXXXXXXX,,New York,IN,Seller,Generated
d9d49404-e9a4-4cbd-90fc-2ee8f862cf84,Owner 2512,+91XXXXXXXXXX,,London,IN,Seller,Generated
b8f9da29-1e65-4d38-a9b1-2ac27cdc1d73,Owner 513,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
a256c4e7-f0a7-4ef4-af33-535e3c31e248,Owner 4591,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
d70201df-f9c5-4d80-b5b2-0ecbf294023b,Owner 4022,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
a04d8f77-eea4-44aa-be84-2fe4b39c01e6,Owner 691,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
e63558f9-fdd9-446e-af02-11e6b7c82cd0,Owner 4631,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
35601e9e-8192-43c1-8ea1-e78aa8f99cf2,Owner 3238,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
ba3cbc13-5507-490e-8611-c789139c258c,Owner 3087,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
3914afac-da3f-4838-a26c-1244452d9b30,Owner 3793,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
4272ec74-24ea-4c3d-b337-d88bae8f8bb5,Owner 2376,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
0485f05d-1d62-4c3d-842e-82e84925dfa8,Owner 7242,+91XXXXXXXXXX,,London,IN,Seller,Generated
5903a34e-8578-4426-89e1-dfb076ac0e4b,Owner 7649,+91XXXXXXXXXX,,New York,IN,Seller,Generated
7da39418-2e22-4c58-9397-7d4230946745,Owner 9695,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
6a2bf7da-e1cf-40b6-a201-be909e520847,Owner 8559,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
0dbffa2b-4c99-4304-a9b8-41636614b6b1,Owner 4481,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
739f8f77-4b5c-4303-9c51-959892b3e539,Owner 9612,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
a2387542-c4c7-4d1f-a109-557aa3734766,Owner 5249,+91XXXXXXXXXX,,London,IN,Seller,Generated
aa66a621-f450-4334-9447-717bf61abf7f,Owner 7644,+91XXXXXXXXXX,,New York,IN,Seller,Generated
de84a898-8415-4f73-891d-914b6e58a9fe,Owner 8182,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
4380bb4b-a06f-4c1f-b336-9779d830bd41,Owner 1020,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
14f98a47-de2c-44a8-a4cc-5f31a18dbdef,Owner 451,+91XXXXXXXXXX,,New York,IN,Seller,Generated
c735f207-7bc5-40f0-b0fe-7a6e869b620d,Owner 1560,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
688a0949-695f-4ef0-8b78-95a9ba0dc234,Owner 7230,+91XXXXXXXXXX,,London,IN,Seller,Generated
18e74948-36c3-48eb-aae6-b0d478ac3882,Owner 4372,+91XXXXXXXXXX,,London,IN,Seller,Generated
2864c8ba-3a6c-4beb-b517-804841d60c49,Owner 3050,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
9008faea-7600-4ea7-b706-83fbadb9e0f5,Owner 6932,+91XXXXXXXXXX,,New York,IN,Seller,Generated
e2314f72-a1f8-4393-9e77-7de29b96f2c7,Owner 5709,+91XXXXXXXXXX,,New York,IN,Seller,Generated
6396309c-6cd6-48f3-8f73-7adca28915bf,Owner 878,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
203a8e23-3d78-4bab-aeea-b211cee2b10b,Owner 2035,+91XXXXXXXXXX,,New York,IN,Seller,Generated
6891970e-a863-4563-a922-d22226c58bf8,Owner 6827,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
ca85531f-a54d-4bb2-95f3-c389865bcc54,Owner 1776,+91XXXXXXXXXX,,New York,IN,Seller,Generated
2fa06b30-6310-4878-9c6e-7fdf0254d2e2,Owner 2389,+91XXXXXXXXXX,,New York,IN,Seller,Generated
380a1bba-6b38-4f59-8777-74c9de17e437,Owner 3593,+91XXXXXXXXXX,,London,IN,Seller,Generated
cda0a66b-2c8c-4fea-b8a8-5769f1b1db05,Owner 3991,+91XXXXXXXXXX,,New York,IN,Seller,Generated
3a952211-977d-408b-9585-368a9e9ee2fa,Owner 524,+91XXXXXXXXXX,,New York,IN,Seller,Generated
8ec07e1c-a845-449e-a9bc-8803ab713bdc,Owner 5285,+91XXXXXXXXXX,,London,IN,Seller,Generated
3410a0d6-b425-4ee2-af6f-8d99ba2bceef,Owner 8634,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
46ca091d-c4a6-4796-a5d3-656b1939d9d9,Owner 26,+91XXXXXXXXXX,,London,IN,Seller,Generated
63c6124b-3050-418f-ae83-d5dec436668d,Owner 7416,+91XXXXXXXXXX,,New York,IN,Seller,Generated
28d7f0fa-f037-4f7e-990a-e776dc73b7c0,Owner 2203,+91XXXXXXXXXX,,London,IN,Seller,Generated
6c9219b7-6326-4fc5-a745-cbae7fee09f1,Owner 1158,+91XXXXXXXXXX,,New York,IN,Seller,Generated
ba2f3f57-f3ae-456b-9a54-0bb2ea528570,Owner 4470,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
f0bdad1c-05b0-4aa2-ba75-ecd25547b310,Owner 1455,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
dbdc18c7-9981-4639-be40-155e3bdba02c,Owner 4193,+91XXXXXXXXXX,,New York,IN,Seller,Generated
ed019a98-6637-4601-99ba-50c269ce9bd2,Owner 2132,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
27cb4005-5678-4f8b-8d78-941ee59da57a,Owner 2503,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
dfedba62-43e1-4c83-8f4b-b92504450f88,Owner 9025,+91XXXXXXXXXX,,Delhi,IN,Seller,Generated
6227c7c0-7985-4ec2-b28a-861db65c61e7,Owner 7103,+91XXXXXXXXXX,,New York,IN,Seller,Generated
aa5e4ee8-2237-4d70-98ff-7938972b2adf,Owner 6272,+91XXXXXXXXXX,,London,IN,Seller,Generated
a5099100-f140-4f72-914b-97691a619214,Owner 8959,+91XXXXXXXXXX,,New York,IN,Seller,Generated
6887a2d5-460b-46fc-8a51-661c011b86d2,Owner 8433,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
99bd30c1-31ae-4d57-b340-cdefe58c9200,Owner 7031,+91XXXXXXXXXX,,Mumbai,IN,Seller,Generated
4c493196-a6ac-4c84-917c-c67bf3bbddc6,Owner 3408,+91XXXXXXXXXX,,London,IN,Seller,Generated
